"incidnt_num","category","descript","day_of_week","date","time","pd_district","resolution","address","lon","lat","location","id"
"140000394","DRUNKENNESS","UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE","Wednesday","2014-01-01","02:05:00","NORTHERN","NOT PROSECUTED","WASHINGTON ST / POLK ST","-122.421","37.793","(37.7932574953959, -122.421231781955)","10409"
"131025989","OTHER OFFENSES","DRIVERS LICENSE, SUSPENDED OR REVOKED","Thursday","2013-12-05","12:04:00","NORTHERN","ARREST, CITED","1500 Block of EDDY ST","-122.433","37.781","(37.7813219694774, -122.432901510644)","18547"
"131087020","VEHICLE THEFT","STOLEN AUTOMOBILE","Friday","2013-12-27","10:00:00","INGLESIDE","NONE","SUNNYDALE AV / RUTLAND ST","-122.409","37.71","(37.7098457177238, -122.408640885133)","11873"
"130978080","LARCENY/THEFT","GRAND THEFT BICYCLE","Monday","2013-11-18","14:25:00","SOUTHERN","NONE","4TH ST / HOWARD ST","-122.403","37.783","(37.7832596543979, -122.402712593282)","24026"
"130980740","NON-CRIMINAL","LOST PROPERTY","Thursday","2013-11-07","12:00:00","CENTRAL","NONE","300 Block of SUTTER ST","-122.406","37.79","(37.7895477711246, -122.405789156551)","28175"
"131025597","MISSING PERSON","MISSING JUVENILE","Wednesday","2013-12-04","15:00:00","MISSION","LOCATED","2800 Block of MISSION ST","-122.418","37.752","(37.7516486298922, -122.418347187568)","18721"
"130927338","BURGLARY","BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY","Friday","2013-11-01","06:30:00","CENTRAL","NONE","1000 Block of SUTTER ST","-122.417","37.788","(37.7882085379605, -122.416860558029)","30088"
"140071414","OTHER OFFENSES","LOST/STOLEN LICENSE PLATE","Friday","2014-01-24","00:01:00","INGLESIDE","NONE","800 Block of MOSCOW ST","-122.432","37.715","(37.7150123716928, -122.432293142683)","2434"
"140065207","DRUG/NARCOTIC","POSSESSION OF METH-AMPHETAMINE","Wednesday","2014-01-22","22:29:00","INGLESIDE","ARREST, BOOKED","4400 Block of MISSION ST","-122.434","37.726","(37.7263438709681, -122.433591682442)","3276"
"131047767","OTHER OFFENSES","PROBATION VIOLATION","Friday","2013-12-13","12:28:00","TENDERLOIN","ARREST, BOOKED","100 Block of JONES ST","-122.412","37.782","(37.7821736393656, -122.412287473411)","15836"
"130960504","WARRANTS","ENROUTE TO ADULT AUTHORITY","Tuesday","2013-11-12","19:34:00","TENDERLOIN","ARREST, BOOKED","GOLDEN GATE AV / LEAVENWORTH ST","-122.414","37.782","(37.7818621883021, -122.413869632554)","26351"
"136244065","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Tuesday","2013-12-24","09:30:00","SOUTHERN","NONE","0 Block of BLUXOME ST","-122.396","37.778","(37.7776494417527, -122.395749089462)","12576"
"130929522","SUICIDE","SUICIDE BY LACERATION","Friday","2013-11-01","22:32:00","TARAVAL","NONE","LINCOLN WY / 24TH AV","-122.483","37.765","(37.7652086194992, -122.482614313563)","30355"
"140002516","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Wednesday","2014-01-01","19:40:00","TENDERLOIN","ARREST, BOOKED","0 Block of STOCKTON ST","-122.406","37.786","(37.7857422667499, -122.405878455823)","10235"
"136222704","LARCENY/THEFT","GRAND THEFT FROM UNLOCKED AUTO","Monday","2013-11-25","21:45:00","SOUTHERN","NONE","800 Block of BRYANT ST","-122.404","37.775","(37.7752316978114, -122.403742962696)","21744"
"131012306","DRUG/NARCOTIC","POSSESSION OF METH-AMPHETAMINE","Saturday","2013-11-30","16:27:00","MISSION","ARREST, BOOKED","400 Block of TREAT AV","-122.414","37.763","(37.7633950234512, -122.413661981056)","19968"
"140044007","OTHER OFFENSES","DRIVERS LICENSE, SUSPENDED OR REVOKED","Wednesday","2014-01-15","23:20:00","BAYVIEW","ARREST, CITED","OAKDALE AV / NEWHALL ST","-122.392","37.736","(37.7356625997558, -122.392217325531)","5572"
"131093425","ROBBERY","ROBBERY, ARMED WITH A GUN","Sunday","2013-12-29","20:10:00","RICHMOND","NONE","CALIFORNIA ST / PIERCE ST","-122.437","37.788","(37.7884869343453, -122.437130784375)","11386"
"136232719","LARCENY/THEFT","PETTY THEFT OF PROPERTY","Monday","2013-12-09","11:00:00","SOUTHERN","NONE","4TH ST / TOWNSEND ST","-122.395","37.777","(37.7770909534023, -122.394985875925)","17322"
"146011490","NON-CRIMINAL","LOST PROPERTY","Wednesday","2014-01-15","00:01:00","NORTHERN","NONE","SACRAMENTO ST / VANNESS AV","-122.423","37.791","(37.7912889898479, -122.422516966616)","5552"
"140059915","BURGLARY","BURGLARY OF RESIDENCE, UNLAWFUL ENTRY","Monday","2014-01-20","14:30:00","SOUTHERN","NONE","0 Block of 1ST ST","-122.398","37.79","(37.7899991066146, -122.397932716472)","3810"
"131035079","ROBBERY","ROBBERY OF A COMMERCIAL ESTABLISHMENT WITH A GUN","Sunday","2013-12-08","19:20:00","SOUTHERN","ARREST, BOOKED","800 Block of MARKET ST","-122.407","37.785","(37.78475328357, -122.407036790381)","17639"
"131024232","OTHER OFFENSES","MISCELLANEOUS INVESTIGATION","Wednesday","2013-12-04","18:40:00","PARK","NONE","1900 Block of GEARY BL","-122.435","37.784","(37.7841770292778, -122.434619954462)","18650"
"131053598","BURGLARY","BURGLARY OF STORE, UNLAWFUL ENTRY","Sunday","2013-12-15","13:45:00","SOUTHERN","ARREST, BOOKED","800 Block of MARKET ST","-122.407","37.785","(37.78475328357, -122.407036790381)","15245"
"131084797","NON-CRIMINAL","AIDED CASE, MENTAL DISTURBED","Thursday","2013-12-26","17:33:00","PARK","PSYCHOPATHIC CASE","0 Block of SHRADER ST","-122.453","37.775","(37.7745110732972, -122.452868550073)","12313"
"136238165","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Friday","2013-12-20","13:00:00","SOUTHERN","NONE","800 Block of BRYANT ST","-122.404","37.775","(37.7752316978114, -122.403742962696)","13527"
"131052534","LARCENY/THEFT","PETTY THEFT FROM LOCKED AUTO","Saturday","2013-12-14","17:00:00","NORTHERN","NONE","1100 Block of VANNESS AV","-122.421","37.786","(37.7856867915768, -122.421438828563)","15572"
"146002085","LARCENY/THEFT","PETTY THEFT OF PROPERTY","Tuesday","2013-12-31","23:30:00","CENTRAL","NONE","500 Block of GREEN ST","-122.408","37.8","(37.7996046765783, -122.40839638888)","10549"
"131038465","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Tuesday","2013-12-10","01:52:00","NORTHERN","NONE","1000 Block of POLK ST","-122.42","37.786","(37.7858942309066, -122.419782905411)","16780"
"130955191","LARCENY/THEFT","GRAND THEFT FROM A BUILDING","Sunday","2013-11-10","02:00:00","NORTHERN","NONE","1000 Block of GEARY ST","-122.42","37.786","(37.7858275263249, -122.419987770476)","27005"
"146015072","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Monday","2014-01-20","10:00:00","RICHMOND","NONE","MARTIN LUTHER KING JR DR / 7TH AV","-122.464","37.766","(37.7664285966753, -122.464383299672)","3692"
"146013769","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Tuesday","2014-01-14","17:00:00","TENDERLOIN","NONE","TAYLOR ST / OFARRELL ST","-122.411","37.786","(37.7859963050476, -122.411328369311)","6136"
"140044267","OTHER OFFENSES","TAMPERING WITH A VEHICLE","Thursday","2014-01-16","01:05:00","MISSION","NONE","23RD ST / VERMONT ST","-122.404","37.754","(37.7544534411473, -122.403524795218)","5456"
"146017799","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Saturday","2014-01-25","12:45:00","NORTHERN","NONE","1100 Block of GOUGH ST","-122.424","37.784","(37.783500309707, -122.424359251182)","2120"
"131066400","ASSAULT","BATTERY","Thursday","2013-12-19","15:20:00","MISSION","ARREST, CITED","2000 Block of MARKET ST","-122.427","37.769","(37.7691618401946, -122.426893114012)","13848"
"130971307","NON-CRIMINAL","LOST PROPERTY","Thursday","2013-11-14","12:00:00","SOUTHERN","NONE","0 Block of 6TH ST","-122.409","37.781","(37.7812466092738, -122.40911634669)","25415"
"140041150","TRESPASS","TRESPASSING","Sunday","2014-01-12","14:00:00","TARAVAL","NONE","800 Block of PACHECO ST","-122.469","37.753","(37.7532082843579, -122.469113369282)","6696"
"140091707","SUSPICIOUS OCC","SUSPICIOUS OCCURRENCE","Friday","2014-01-31","10:00:00","SOUTHERN","NONE","100 Block of 3RD ST","-122.401","37.785","(37.7851986640572, -122.400628855762)","124"
"140086714","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","2014-01-29","13:00:00","BAYVIEW","NONE","900 Block of BAY SHORE BL","-122.404","37.732","(37.7319355092924, -122.40408391181)","650"
"140051416","VEHICLE THEFT","STOLEN TRUCK","Tuesday","2014-01-14","19:00:00","INGLESIDE","NONE","100 Block of TIFFANY AV","-122.422","37.745","(37.7445200104218, -122.421677216395)","5857"
"140066625","FRAUD","FRAUDULENT USE OF AUTOMATED TELLER CARD","Monday","2014-01-06","00:01:00","NORTHERN","NONE","600 Block of EDDY ST","-122.418","37.783","(37.7832363038906, -122.41837962655)","8748"
"131032796","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Saturday","2013-12-07","18:00:00","SOUTHERN","NONE","3RD ST / BRANNAN ST","-122.394","37.78","(37.7800905305924, -122.394304475194)","17734"
"131078198","DRIVING UNDER THE INFLUENCE","DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL","Monday","2013-12-23","19:00:00","BAYVIEW","ARREST, BOOKED","2300 Block of 3RD ST","-122.388","37.76","(37.7600806365925, -122.38847814898)","12724"
"140013193","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Sunday","2014-01-05","16:00:00","NORTHERN","ARREST, BOOKED","700 Block of VANNESS AV","-122.421","37.783","(37.782864969754, -122.420952792055)","9076"
"136219115","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Wednesday","2013-11-13","20:45:00","SOUTHERN","NONE","RITCH ST / TOWNSEND ST","-122.393","37.778","(37.7784284783975, -122.393289592936)","25895"
"131071487","VEHICLE THEFT","STOLEN TRUCK","Friday","2013-12-20","20:00:00","SOUTHERN","NONE","7TH ST / HOWARD ST","-122.409","37.778","(37.7779765037999, -122.409391574893)","13565"
"140020728","VEHICLE THEFT","STOLEN AUTOMOBILE","Monday","2014-01-06","18:00:00","INGLESIDE","NONE","200 Block of WHITNEY ST","-122.427","37.738","(37.7380324220708, -122.427323459489)","8660"
"140085697","ASSAULT","AGGRAVATED ASSAULT WITH A DEADLY WEAPON","Wednesday","2014-01-29","10:40:00","INGLESIDE","JUVENILE BOOKED","500 Block of PORTOLA DR","-122.451","37.746","(37.7457678147559, -122.450907615286)","838"
"140030238","VEHICLE THEFT","STOLEN TRUCK","Friday","2014-01-10","22:30:00","NORTHERN","NONE","1900 Block of BEACH ST","-122.442","37.804","(37.8037947356356, -122.441760581308)","7403"
"130945352","DRUG/NARCOTIC","MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED","Thursday","2013-11-07","12:45:00","INGLESIDE","ARREST, BOOKED","0 Block of MADISON ST","-122.424","37.729","(37.7285084082456, -122.423782654124)","27899"
"131082785","RECOVERED VEHICLE","RECOVERED VEHICLE - STOLEN OUTSIDE SF","Thursday","2013-12-26","02:26:00","BAYVIEW","NONE","1200 Block of FITZGERALD AV","-122.393","37.722","(37.7220475579973, -122.393121633803)","12179"
"136205926","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Friday","2013-11-01","19:30:00","NORTHERN","NONE","TURK ST / FRANKLIN ST","-122.422","37.782","(37.7817528767881, -122.42227702764)","30299"
"140078119","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Monday","2014-01-27","05:30:00","TENDERLOIN","NONE","0 Block of JONES ST","-122.412","37.781","(37.7810780105584, -122.412156222337)","1283"
"140083005","DRUG/NARCOTIC","POSSESSION OF BASE/ROCK COCAINE FOR SALE","Tuesday","2014-01-28","14:34:00","TENDERLOIN","ARREST, BOOKED","HYDE ST / TURK ST","-122.416","37.783","(37.7825851968467, -122.415694922134)","920"
"136242138","LARCENY/THEFT","PETTY THEFT OF PROPERTY","Saturday","2013-12-14","19:05:00","TENDERLOIN","NONE","100 Block of OFARRELL ST","-122.408","37.787","(37.7865024401191, -122.407567826112)","15655"
"130950505","WARRANTS","WARRANT ARREST","Saturday","2013-11-09","08:47:00","TENDERLOIN","ARREST, BOOKED","TURK ST / TAYLOR ST","-122.411","37.783","(37.7832145190013, -122.410768766343)","27200"
"131019863","NON-CRIMINAL","FOUND PROPERTY","Tuesday","2013-12-03","06:00:00","TARAVAL","NONE","VICENTE ST / 37TH AV","-122.473","37.739","(37.7394172712622, -122.473292342506)","19055"
"140047330","ASSAULT","BATTERY OF A POLICE OFFICER","Thursday","2014-01-16","22:45:00","BAYVIEW","NONE","4600 Block of 3RD ST","-122.39","37.736","(37.7360716353586, -122.390298433359)","5115"
